,ID,CODIGO_ACT,NOMBRE_ACT,PER_OCU,MUNICIPIO,LOCALIDAD,PER_OCU_NUMERIC,NOMBRE_ACT_NUMERIC,y,x
7519,6170443,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Acámbaro,La Encarnación,2,0,20.071,-100.636
7520,6170462,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",51 a 100 personas,Tarandacuao,La Mora,6,0,20.06771789,-100.52809135
7521,6170458,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",31 a 50 personas,San Miguel de Allende,Presa Allende,3,0,20.85080765,-100.82912532
7522,6170471,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Yuriria,La Angostura,2,0,20.27833024,-101.10857691
7523,6170444,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",6 a 10 personas,Valle de Santiago,Cahuageo,0,0,20.27430574,-101.13119223
7524,6170454,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Yuriria,La Angostura,2,0,20.27670024,-101.11096333999998
7526,6170447,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,San Miguel de Allende,Agustín González,2,0,20.86007,-100.85166
7528,6174783,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,León,León de los Aldama,1,0,21.11974218,-101.72077189
7529,6170449,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,Yuriria,Los Tepetates,1,0,20.281,-101.094
7530,8312510,112512.0,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,Celaya,Celaya,1,1,20.51845872,-100.81780038
7531,6170488,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Acámbaro,Irámuco,2,0,19.95821,-100.92497
7532,9017577,115113.0,Beneficio de productos agrícolas,11 a 30 personas,Comonfort,Comonfort,2,3,20.71151207,-100.75936216999996
7534,9055236,112512.0,"Piscicultura y otra acuicultura, excepto camaronicultura",11 a 30 personas,Celaya,Celaya,2,1,20.52820325,-100.8248338
7535,8921995,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Coroneo,La Presa,2,0,20.24032374,-100.37009587
7536,6170486,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Yuriria,Yuriria,2,0,20.22015959,-101.13689195
7537,8598925,115113.0,Beneficio de productos agrícolas,11 a 30 personas,Salamanca,Salamanca,2,3,20.60366927,-101.17588118999998
7538,6170466,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Acámbaro,Isla Cerro Grande (Isla Chanaco),2,0,19.933,-100.95499999999998
7539,6170468,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",31 a 50 personas,San Miguel de Allende,Flores de Begoña,3,0,20.8729,-100.79417999999998
7540,9045885,112512.0,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,Victoria,Victoria,1,1,21.21092586,-100.21573743999998
7541,6170481,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,León,León de los Aldama,2,0,21.18097157,-101.67774479
7542,6170453,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,San Felipe,Jesús María,1,0,21.354,-101.213
7543,6170452,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",31 a 50 personas,Yuriria,Yuriria,3,0,20.21854916,-101.14470661
7544,9051412,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Tarandacuao,San José de Porto (San José de Hidalgo),2,0,20.0352665,-100.56296018
7545,6170460,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",31 a 50 personas,Acámbaro,Santa Inés,3,0,20.048,-100.588
7547,6170461,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Acámbaro,La Encarnación,2,0,20.071,-100.636
7549,6170491,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",31 a 50 personas,Jerécuaro,Las Joyas de Puriantzícuaro,3,0,20.08225427,-100.5792578
7550,6170472,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",6 a 10 personas,San Felipe,Jesús María,0,0,21.354,-101.213
7551,6170459,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",31 a 50 personas,Acámbaro,San Miguel,3,0,20.041,-100.648
7552,1167070,115113.0,Beneficio de productos agrícolas,0 a 5 personas,León,León de los Aldama,1,3,21.0729957,-101.6875184
7553,6170465,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,San Miguel de Allende,San Marcos de Begoña,2,0,20.84214,-100.80546999999999
7556,6170464,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Acámbaro,Irámuco,2,0,19.95750402,-100.92872024999996
15492,1248346,,,,,,-1,-1,,
